,age,Gender,Educational Qualification ,income,Family type, Location,reside,Occupation,dependent,marital_status,Mother tongue,read_eWOMS, Save time,Detailed product information,Visual demonstrations in video reviews,Trust in reputable reviewers,Recommendations from like-minded individuals,Engaging with a community of reviewers,Availability of a wide range of information,Reviews are transparent and authentic,Assurance of customer satisfaction,Confirmation of product suitability for specific needs,Confidence in my knowledge about the product ,Lack of interest in others opinion,Confidence in my own decision making abilities,Prefer seek advice from experts,Review creates confusion,Difference in eWOM and product quality
11,18,Male,Post Graduation,0-20000,Nuclear,Rural,Bulding,Service,2,Single,Marathi,yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
12,20,Male,SSC,20000-80000,Joint,Urban,Tower,Service,0,Single,Marathi,yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
13,23,Male,SSC,20000-80000,Joint,Urban,Tower,Student,4,Single,Hindi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
14,21,Male,SSC,0-20000,Joint,Urban,Slum,Service,4,Single,Marathi,no,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree
15,23,Male,SSC,0-20000,Joint,Urban,Bulding,Service,2,Single,Hindi,yes,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree
16,22,Female,Post Graduation,80000 and above,Joint,Urban,Slum,Service,1,Single,Hindi,no,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral
17,20,Male,HSC,20000-80000,Nuclear,Urban,Slum,Service,3,Single,Hindi,yes,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Neutral
18,23,Male,Graduation,0-20000,Joint,Rural,Slum,Student,3,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
19,22,Male,Graduation,20000-80000,Joint,Rural,Slum,Service,1,Single,Marathi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree
20,22,Male,HSC,80000 and above,Nuclear,Urban,Tower,Other,3,Single,Hindi,yes,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Disagree
21,24,Female,Post Graduation,20000-80000,Joint,Urban,Slum,Student,3,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
22,21,Female,Post Graduation,20000-80000,Joint,Urban,Slum,Service,2,Single,Hindi,yes,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Neutral
23,25,Female,SSC,20000-80000,Nuclear,Urban,Slum,Student,2,Single,Hindi,yes,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral
24,20,Male,Graduation,0-20000,Joint,Urban,Tower,Service,4,Single,Marathi,yes,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral
25,22,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree
26,22,Female,HSC,20000-80000,Nuclear,Urban,Tower,Service,5,Single,Marathi,yes,Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
27,22,Female,SSC,20000-80000,Joint,Urban,Bunglaw,Service,2,Single,Marathi,yes,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree
28,22,Female,Post Graduation,80000 and above,Nuclear,Urban,Slum,Student,1,Single,Hindi,yes,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
29,26,Male,Post Graduation,0-20000,Nuclear,Urban,Slum,Service,3,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree
30,22,Female,SSC,20000-80000,Nuclear,Rural,Tower,Service,3,Single,Marathi,yes,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree
31,21,Female,SSC,20000-80000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral
32,20,Female,HSC,20000-80000,Joint,Urban,Bulding,Service,3,Single,Hindi,yes,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral
33,22,Female,SSC,20000-80000,Joint,Urban,Slum,Service,2,Single,Marathi,no,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
34,21,Female,HSC,80000 and above,Nuclear,Urban,Slum,Student,5,Single,Hindi,yes,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
35,22,Female,Post Graduation,0-20000,Nuclear,Urban,Tower,Student,4,Single,Hindi,yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
36,28,Male,Post Graduation,80000 and above,Joint,Urban,Slum,Student,3,Single,Marathi,yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree
37,22,Female,Post Graduation,20000-80000,Nuclear,Urban,Slum,Service,2,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
38,24,Male,Post Graduation,20000-80000,Nuclear,Urban,Bulding,Student,2,Single,Marathi,no,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree
39,22,Male,Post Graduation,80000 and above,Joint,Urban,Tower,Student,3,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
40,26,Male,Post Graduation,20000-80000,Joint,Urban,Slum,Student,2,Single,Marathi,no,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree
41,24,Male,HSC,20000-80000,Joint,Urban,Slum,Student,1,Single,Marathi,yes,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Neutral
42,30,Male,SSC,80000 and above,Joint,Rural,Slum,Student,1,Single,Marathi,yes,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree
43,22,Male,HSC,0-20000,Nuclear,Urban,Slum,Service,1,Single,Marathi,no,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree
44,24,Male,Graduation,20000-80000,Joint,Urban,Tower,Student,1,Single,Marathi,yes,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Neutral
45,23,Male,Post Graduation,0-20000,Joint,Rural,Tower,Service,3,Single,Hindi,no,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
46,24,Female,SSC,20000-80000,Joint,Urban,Tower,Student,2,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree
47,20,Female,HSC,20000-80000,Joint,Rural,Slum,Service,5,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
48,22,Female,HSC,0-20000,Joint,Urban,Tower,Student,0,Single,Marathi,yes,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
49,19,Male,Graduation,20000-80000,Nuclear,Urban,Slum,Service,1,Single,Marathi,no,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
50,27,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Student,2,Single,Marathi,no,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
51,23,Male,HSC,20000-80000,Nuclear,Urban,Bulding,Student,0,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
52,17,Female,HSC,20000-80000,Joint,Urban,Tower,Service,4,Single,Marathi,yes,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree
53,31,Male,Graduation,80000 and above,Nuclear,Urban,Tower,Service,5,Married,Marathi,yes,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
54,32,Male,Graduation,20000-80000,Nuclear,Urban,Tower,Student,4,Married,Marathi,yes,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral
55,20,Male,Graduation,20000-80000,Nuclear,Urban,Tower,Service,4,Single,Marathi,yes,Disagree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Agree
56,20,Male,Post Graduation,0-20000,Joint,Urban,Bulding,Service,2,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree
57,22,Female,Graduation,20000-80000,Joint,Rural,Bulding,Service,1,Single,Marathi,yes,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree
58,23,Male,SSC,0-20000,Nuclear,Urban,Tower,Service,4,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree
59,21,Female,Graduation,0-20000,Joint,Urban,Bulding,Service,0,Single,Marathi,yes,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree
60,20,Male,Graduation,20000-80000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
61,21,Female,HSC,80000 and above,Joint,Urban,Tower,Other,4,Single,Hindi,yes,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree
62,22,Female,Post Graduation,0-20000,Joint,Urban,Slum,Service,2,Single,Marathi,yes,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Agree
63,17,Male,HSC,20000-80000,Joint,Urban,Slum,Service,4,Single,Marathi,yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
64,22,Female,HSC,0-20000,Nuclear,Urban,Tower,Service,5,Single,Hindi,yes,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Agree
65,21,Female,SSC,20000-80000,Joint,Urban,Slum,Service,1,Single,Hindi,yes,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree
66,23,Female,SSC,20000-80000,Joint,Urban,Slum,Service,5,Single,Hindi,yes,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree
67,23,Female,HSC,20000-80000,Joint,Urban,Slum,Service,2,Single,Hindi,yes,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
68,23,Female,SSC,0-20000,Nuclear,Urban,Slum,Service,0,Single,Marathi,yes,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree
69,21,Female,HSC,0-20000,Joint,Urban,Tower,Service,5,Single,Marathi,no,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
70,22,Male,HSC,20000-80000,Joint,Urban,Tower,Service,2,Single,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
71,16,Female,Post Graduation,20000-80000,Nuclear,Urban,Tower,Service,4,Single,Hindi,yes,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree
72,16,Female,Post Graduation,0-20000,Nuclear,Urban,Tower,Service,2,Single,Hindi,yes,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree
73,41,Female,HSC,20000-80000,Joint,Urban,Slum,Business,4,Married,Marathi,no,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
74,21,Female,SSC,80000 and above,Joint,Urban,Bulding,Student,1,Single,Marathi,yes,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree
75,17,Male,SSC,20000-80000,Joint,Urban,Slum,Service,4,Single,Marathi,no,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree
76,21,Female,Graduation,80000 and above,Joint,Urban,Slum,Service,3,Single,Marathi,yes,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree
77,23,Female,SSC,80000 and above,Nuclear,Urban,Tower,Other,2,Single,Marathi,yes,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree
78,17,Female,SSC,20000-80000,Joint,Urban,Tower,Service,4,Single,Marathi,yes,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral
79,20,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Other,5,Single,Hindi,yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree
80,16,Female,SSC,80000 and above,Nuclear,Urban,Slum,Other,3,Single,Marathi,yes,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Disagree
81,17,Female,Post Graduation,20000-80000,Nuclear,Rural,Slum,Service,5,Single,Marathi,yes,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree
82,24,Female,HSC,20000-80000,Joint,Urban,Bulding,Service,5,Single,Marathi,yes,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
83,24,Male,SSC,20000-80000,Joint,Urban,Tower,Service,0,Single,Marathi,yes,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral
84,21,Male,Post Graduation,80000 and above,Joint,Urban,Slum,Student,2,Single,Hindi,no,Agree,Neutral,Strongly agree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
85,31,Male,Post Graduation,20000-80000,Joint,Urban,Tower,Student,3,Married,Marathi,yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral
86,34,Male,Post Graduation,20000-80000,Nuclear,Urban,Slum,Other,1,Single,Marathi,yes,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree
87,18,Female,HSC,20000-80000,Joint,Urban,Tower,Other,4,Single,Hindi,yes,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral
88,21,Female,HSC,80000 and above,Joint,Urban,Tower,Service,0,Single,Marathi,yes,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree
89,24,Male,Post Graduation,80000 and above,Joint,Urban,Tower,Student,2,Single,Marathi,yes,Disagree,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Agree
90,39,Female,Post Graduation,20000-80000,Nuclear,Urban,Tower,Student,1,Married,Marathi,yes,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree
91,16,Female,HSC,0-20000,Nuclear,Urban,Tower,Service,3,Single,Marathi,no,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
92,16,Female,SSC,80000 and above,Joint,Urban,Tower,Service,3,Single,Marathi,yes,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Neutral
93,40,Female,Post Graduation,20000-80000,Joint,Urban,Tower,Business,4,Married,Marathi,no,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree
94,49,Male,Post Graduation,20000-80000,Nuclear,Urban,Slum,Other,5,Married,Marathi,yes,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Agree,Neutral
95,23,Female,SSC,20000-80000,Joint,Urban,Tower,Service,3,Single,Hindi,yes,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree
96,24,Male,Post Graduation,80000 and above,Nuclear,Urban,Slum,Other,3,Single,Hindi,yes,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly disagree,Disagree
97,22,Male,HSC,80000 and above,Nuclear,Urban,Slum,Service,3,Single,Marathi,yes,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
98,26,Male,SSC,20000-80000,Joint,Urban,Tower,Student,0,Single,Marathi,no,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral
99,32,Male,Post Graduation,80000 and above,Joint,Urban,Bunglaw,Student,0,Single,Hindi,no,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly agree
100,29,Female,Post Graduation,0-20000,Nuclear,Urban,Bulding,Business,5,Married,Marathi,no,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
101,27,Female,SSC,20000-80000,Joint,Urban,Bulding,Student,2,Single,Marathi,no,Neutral,Neutral,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree
102,21,Male,SSC,20000-80000,Joint,Urban,Tower,Service,4,Single,Marathi,no,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
